sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_bmasse_missing,pl_rade_missing,pl_orbper_missing,pl_orbsmax_missing,pl_orbeccen_missing,st_teff_missing,st_rad_missing,st_mass_missing,st_met_missing,st_logg_missing,sy_dist_missing,ra_missing,dec_missing,pl_bmasse_log,pl_rade_log,pl_orbper_log,pl_orbsmax_log,pl_eqt_log,sy_dist_log,st_mass_log,st_rad_log,st_teff_log
1,1,Radial Velocity,93.4,0.49,2.4,416.3573,0.06,903.0,Unknown,4847.0,10.3,1.44,-0.03,2.57,224.201685,74.9009379,162.552,6.83295,4.515,6.55896,0,1,0,0,0,0,0,0,0,0,0,0,0,6.033942689458019,1.2237754316221157,4.547541073151455,0.3987761199573678,6.806829360392176,5.097130982585869,0.8919980393051105,2.424802725718295,8.48632152774915
1,1,Radial Velocity,1005.57,2.104,2.4,1051.05854,0.037,903.0,G5 III,4734.0,11.21,1.23,-0.11,2.41,39.4243555,-3.3963607,101.26,5.64307,3.266,5.37588,0,1,0,0,0,0,0,0,0,0,0,0,0,6.958504038137285,1.2237754316221157,6.9143037905999005,1.1326916023209723,6.806829360392176,4.627518589651853,0.8020015854720274,2.502255288122613,8.462737005620179
3,1,Radial Velocity,181.4,0.7,2.4,1017.0,0.027,903.0,K0 III,4665.0,11.0,1.4,-0.03,2.52,348.9745031,-9.0878076,44.0304,4.23946,1.597,3.95311,0,1,0,0,0,0,0,0,0,0,0,0,0,6.925595197110468,1.2237754316221157,5.206202077640231,0.5306282510621704,6.806829360392176,3.807337817240938,0.8754687373538999,2.4849066497880004,8.448057452581375
1,1,Other,11.267014645,93.9,2.4,2860.45566,0.4,903.0,Unknown,9770.0,0.95,2.4,0.02,4.46,73.9410446,30.5510888,162.127,7.076,4.23,7.07854,0,1,1,0,0,0,1,0,1,1,0,0,0,7.959085746359541,1.2237754316221157,2.5069139239033302,4.552823705615882,6.806829360392176,5.094529038538196,1.2237754316221157,0.6678293725756554,9.187174093944343
1,1,Other,11.267014645,260.0,2.4,4290.5,0.086,903.0,K2 V,5551.0,0.95,0.95,0.02,4.46,94.8039208,-58.0541184,50.0475,9.13,6.981,8.8378,0,1,1,0,1,1,1,1,1,1,0,0,0,8.364391601158275,1.2237754316221157,2.5069139239033302,5.564520407322694,6.806829360392176,3.9327565718150526,0.6678293725756554,0.6678293725756554,8.62191350218664
1,1,Other,8030.0,8.4,2.4,1017.0509,0.24,903.0,F8 V,6130.0,1.25,1.2,0.19,4.46,81.7699216,-11.9011752,26.8564,6.332,4.926,6.18644,0,1,0,0,0,0,0,0,0,1,0,0,0,6.925645195860509,1.2237754316221157,8.991064332188461,2.2407096892759584,6.806829360392176,3.327062742486205,0.7884573603642702,0.8109302162163288,8.721113147762688
1,3,Transit,8.46308,0.0649,3.957,187.5197,0.00577,600.0,Unknown,3678.0,0.74,0.51,0.23,4.4,311.2911369,-31.34245,9.7221,8.81,4.529,7.84038,1,0,0,0,0,0,0,0,0,0,0,0,0,5.23920251071117,1.6008007190384368,2.247397911469015,0.06288089803920104,6.398594934535208,2.3723070319800215,0.412109650826833,0.5538851132264376,8.210396255104774
1,3,Transit,18.85969,0.1108,2.522,187.5197,0.00338,459.0,Unknown,3678.0,0.74,0.51,0.23,4.4,311.2911369,-31.34245,9.7221,8.81,4.529,7.84038,1,0,0,0,0,0,0,0,0,0,0,0,0,5.23920251071117,1.2590290100740142,2.988692049230347,0.10508047645050743,6.131226489483141,2.3723070319800215,0.412109650826833,0.5538851132264376,8.210396255104774
1,3,Other,12.73596,0.1159,2.4,1.053,0.00305,903.0,Unknown,3678.0,0.74,0.51,0.23,4.4,311.2911369,-31.34245,9.7221,8.81,4.529,7.84038,0,1,0,1,0,0,0,0,0,0,0,0,0,0.7193021380367964,1.2237754316221157,2.620017211535023,0.10966125420951849,6.806829360392176,2.3723070319800215,0.412109650826833,0.5538851132264376,8.210396255104774
1,1,Radial Velocity,481.9,1.3,2.4,2034.112,0.2,903.0,Unknown,4095.0,32.35,1.14,-0.71,1.89,177.5647268,2.7601075,1070.63,9.577,6.021,8.9977,0,1,0,0,0,0,0,0,0,0,0,0,0,7.61830613321726,1.2237754316221157,6.179809592879496,0.832909122935104,6.806829360392176,6.976936132799303,0.76080582903376,3.507057772361633,8.317766166719343
